,날짜,종가,등락율,시작가,최고가,최저가,거래량,종가_1,종가_2,종가_3,종가_4,등락율_1,등락율_2,등락율_3,등락율_4,시작가_1,시작가_2,시작가_3,시작가_4,최고가_1,최고가_2,최고가_3,최고가_4,최저가_1,최저가_2,최저가_3,최저가_4,거래량_1,거래량_2,거래량_3,거래량_4
0,2021-12-22,79400,1.66,78900,79400,78800,15649379,78100.0,77100.0,78000.0,77800.0,1.3,-1.15,0.26,0.26,77900.0,77600.0,76800.0,78500.0,78300.0,77800.0,78000.0,78500.0,77500.0,76800.0,76800.0,77400.0,14245298.0,11264375.0,13108479.0,11996128.0
1,2021-12-21,78100,1.3,77900,78300,77500,14245298,77100.0,78000.0,77800.0,77600.0,-1.15,0.26,0.26,0.78,77600.0,76800.0,78500.0,76400.0,77800.0,78000.0,78500.0,77600.0,76800.0,76800.0,77400.0,76300.0,11264375.0,13108479.0,11996128.0,9584939.0
2,2021-12-20,77100,-1.15,77600,77800,76800,11264375,78000.0,77800.0,77600.0,77000.0,0.26,0.26,0.78,0.26,76800.0,78500.0,76400.0,76500.0,78000.0,78500.0,77600.0,77200.0,76800.0,77400.0,76300.0,76200.0,13108479.0,11996128.0,9584939.0,10976660.0
3,2021-12-17,78000,0.26,76800,78000,76800,13108479,77800.0,77600.0,77000.0,76800.0,0.26,0.78,0.26,-0.13,78500.0,76400.0,76500.0,77200.0,78500.0,77600.0,77200.0,78300.0,77400.0,76300.0,76200.0,76500.0,11996128.0,9584939.0,10976660.0,15038750.0
4,2021-12-16,77800,0.26,78500,78500,77400,11996128,77600.0,77000.0,76800.0,76900.0,0.78,0.26,-0.13,-1.66,76400.0,76500.0,77200.0,77400.0,77600.0,77200.0,78300.0,77600.0,76300.0,76200.0,76500.0,76800.0,9584939.0,10976660.0,15038750.0,9155219.0
5,2021-12-15,77600,0.78,76400,77600,76300,9584939,77000.0,76800.0,76900.0,78200.0,0.26,-0.13,-1.66,1.03,76500.0,77200.0,77400.0,77400.0,77200.0,78300.0,77600.0,78200.0,76200.0,76500.0,76800.0,77000.0,10976660.0,15038750.0,9155219.0,21604528.0
6,2021-12-14,77000,0.26,76500,77200,76200,10976660,76800.0,76900.0,78200.0,77400.0,-0.13,-1.66,1.03,0.0,77200.0,77400.0,77400.0,78300.0,78300.0,77600.0,78200.0,78600.0,76500.0,76800.0,77000.0,77100.0,15038750.0,9155219.0,21604528.0,21558340.0
7,2021-12-13,76800,-0.13,77200,78300,76500,15038750,76900.0,78200.0,77400.0,77400.0,-1.66,1.03,0.0,1.44,77400.0,77400.0,78300.0,76100.0,77600.0,78200.0,78600.0,77700.0,76800.0,77000.0,77100.0,75600.0,9155219.0,21604528.0,21558340.0,19232453.0
8,2021-12-10,76900,-1.66,77400,77600,76800,9155219,78200.0,77400.0,77400.0,76300.0,1.03,0.0,1.44,0.93,77400.0,78300.0,76100.0,75100.0,78200.0,78600.0,77700.0,76700.0,77000.0,77100.0,75600.0,74900.0,21604528.0,21558340.0,19232453.0,16391250.0
9,2021-12-09,78200,1.03,77400,78200,77000,21604528,77400.0,77400.0,76300.0,75600.0,0.0,1.44,0.93,-0.26,78300.0,76100.0,75100.0,75600.0,78600.0,77700.0,76700.0,76000.0,77100.0,75600.0,74900.0,74100.0,21558340.0,19232453.0,16391250.0,18330240.0
10,2021-12-08,77400,0.0,78300,78600,77100,21558340,77400.0,76300.0,75600.0,75800.0,1.44,0.93,-0.26,1.88,76100.0,75100.0,75600.0,73900.0,77700.0,76700.0,76000.0,75800.0,75600.0,74900.0,74100.0,73800.0,19232453.0,16391250.0,18330240.0,23652940.0
11,2021-12-07,77400,1.44,76100,77700,75600,19232453,76300.0,75600.0,75800.0,74400.0,0.93,-0.26,1.88,4.35,75100.0,75600.0,73900.0,72000.0,76700.0,76000.0,75800.0,74800.0,74900.0,74100.0,73800.0,71600.0,16391250.0,18330240.0,23652940.0,21954856.0
12,2021-12-06,76300,0.93,75100,76700,74900,16391250,75600.0,75800.0,74400.0,71300.0,-0.26,1.88,4.35,-1.38,75600.0,73900.0,72000.0,73200.0,76000.0,75800.0,74800.0,73900.0,74100.0,73800.0,71600.0,70500.0,18330240.0,23652940.0,21954856.0,30364841.0
13,2021-12-03,75600,-0.26,75600,76000,74100,18330240,75800.0,74400.0,71300.0,72300.0,1.88,4.35,-1.38,0.0,73900.0,72000.0,73200.0,71700.0,75800.0,74800.0,73900.0,73000.0,73800.0,71600.0,70500.0,71400.0,23652940.0,21954856.0,30364841.0,16682559.0
14,2021-12-02,75800,1.88,73900,75800,73800,23652940,74400.0,71300.0,72300.0,72300.0,4.35,-1.38,0.0,-1.9,72000.0,73200.0,71700.0,73500.0,74800.0,73900.0,73000.0,74100.0,71600.0,70500.0,71400.0,72000.0,21954856.0,30364841.0,16682559.0,13002242.0
15,2021-12-01,74400,4.35,72000,74800,71600,21954856,71300.0,72300.0,72300.0,73700.0,-1.38,0.0,-1.9,-1.47,73200.0,71700.0,73500.0,75100.0,73900.0,73000.0,74100.0,75100.0,70500.0,71400.0,72000.0,73600.0,30364841.0,16682559.0,13002242.0,12559258.0
16,2021-11-30,71300,-1.38,73200,73900,70500,30364841,72300.0,72300.0,73700.0,74800.0,0.0,-1.9,-1.47,-0.66,71700.0,73500.0,75100.0,76000.0,73000.0,74100.0,75100.0,76200.0,71400.0,72000.0,73600.0,74100.0,16682559.0,13002242.0,12559258.0,15652305.0
17,2021-11-29,72300,0.0,71700,73000,71400,16682559,72300.0,73700.0,74800.0,75300.0,-1.9,-1.47,-0.66,0.53,73500.0,75100.0,76000.0,76000.0,74100.0,75100.0,76200.0,76000.0,72000.0,73600.0,74100.0,74500.0,13002242.0,12559258.0,15652305.0,22029195.0
18,2021-11-26,72300,-1.9,73500,74100,72000,13002242,73700.0,74800.0,75300.0,74900.0,-1.47,-0.66,0.53,5.2,75100.0,76000.0,76000.0,73300.0,75100.0,76200.0,76000.0,75200.0,73600.0,74100.0,74500.0,73000.0,12559258.0,15652305.0,22029195.0,27506623.0
19,2021-11-25,73700,-1.47,75100,75100,73600,12559258,74800.0,75300.0,74900.0,71200.0,-0.66,0.53,5.2,1.42,76000.0,76000.0,73300.0,70400.0,76200.0,76000.0,75200.0,71400.0,74100.0,74500.0,73000.0,70100.0,15652305.0,22029195.0,27506623.0,11954728.0
20,2021-11-24,74800,-0.66,76000,76200,74100,15652305,75300.0,74900.0,71200.0,70200.0,0.53,5.2,1.42,-0.71,76000.0,73300.0,70400.0,70700.0,76000.0,75200.0,71400.0,71000.0,74500.0,73000.0,70100.0,70200.0,22029195.0,27506623.0,11954728.0,10144957.0
21,2021-11-23,75300,0.53,76000,76000,74500,22029195,74900.0,71200.0,70200.0,70700.0,5.2,1.42,-0.71,-0.84,73300.0,70400.0,70700.0,71300.0,75200.0,71400.0,71000.0,71600.0,73000.0,70100.0,70200.0,70600.0,27506623.0,11954728.0,10144957.0,11027606.0
22,2021-11-22,74900,5.2,73300,75200,73000,27506623,71200.0,70200.0,70700.0,71300.0,1.42,-0.71,-0.84,-0.14,70400.0,70700.0,71300.0,71500.0,71400.0,71000.0,71600.0,72000.0,70100.0,70200.0,70600.0,71300.0,11954728.0,10144957.0,11027606.0,10919239.0
23,2021-11-19,71200,1.42,70400,71400,70100,11954728,70200.0,70700.0,71300.0,71400.0,-0.71,-0.84,-0.14,1.13,70700.0,71300.0,71500.0,71700.0,71000.0,71600.0,72000.0,71900.0,70200.0,70600.0,71300.0,70900.0,10144957.0,11027606.0,10919239.0,12420710.0
24,2021-11-18,70200,-0.71,70700,71000,70200,10144957,70700.0,71300.0,71400.0,70600.0,-0.84,-0.14,1.13,1.0,71300.0,71500.0,71700.0,70200.0,71600.0,72000.0,71900.0,70900.0,70600.0,71300.0,70900.0,69900.0,11027606.0,10919239.0,12420710.0,10087450.0
25,2021-11-17,70700,-0.84,71300,71600,70600,11027606,71300.0,71400.0,70600.0,69900.0,-0.14,1.13,1.0,-0.43,71500.0,71700.0,70200.0,69900.0,72000.0,71900.0,70900.0,70000.0,71300.0,70900.0,69900.0,69600.0,10919239.0,12420710.0,10087450.0,11489122.0
26,2021-11-16,71300,-0.14,71500,72000,71300,10919239,71400.0,70600.0,69900.0,70200.0,1.13,1.0,-0.43,-0.43,71700.0,70200.0,69900.0,70300.0,71900.0,70900.0,70000.0,70900.0,70900.0,69900.0,69600.0,70200.0,12420710.0,10087450.0,11489122.0,9422009.0
27,2021-11-15,71400,1.13,71700,71900,70900,12420710,70600.0,69900.0,70200.0,70500.0,1.0,-0.43,-0.43,-0.14,70200.0,69900.0,70300.0,70300.0,70900.0,70000.0,70900.0,71000.0,69900.0,69600.0,70200.0,70100.0,10087450.0,11489122.0,9422009.0,11159589.0
28,2021-11-12,70600,1.0,70200,70900,69900,10087450,69900.0,70200.0,70500.0,70600.0,-0.43,-0.43,-0.14,0.57,69900.0,70300.0,70300.0,70400.0,70000.0,70900.0,71000.0,70600.0,69600.0,70200.0,70100.0,69800.0,11489122.0,9422009.0,11159589.0,11121981.0
29,2021-11-11,69900,-0.43,69900,70000,69600,11489122,70200.0,70500.0,70600.0,70200.0,-0.43,-0.14,0.57,-0.57,70300.0,70300.0,70400.0,71600.0,70900.0,71000.0,70600.0,71600.0,70200.0,70100.0,69800.0,70200.0,9422009.0,11159589.0,11121981.0,12667743.0
30,2021-11-10,70200,-0.43,70300,70900,70200,9422009,70500.0,70600.0,70200.0,70600.0,-0.14,0.57,-0.57,0.28,70300.0,70400.0,71600.0,71200.0,71000.0,70600.0,71600.0,71600.0,70100.0,69800.0,70200.0,70500.0,11159589.0,11121981.0,12667743.0,11818987.0
31,2021-11-09,70500,-0.14,70300,71000,70100,11159589,70600.0,70200.0,70600.0,70400.0,0.57,-0.57,0.28,-1.54,70400.0,71600.0,71200.0,71700.0,70600.0,71600.0,71600.0,71700.0,69800.0,70200.0,70500.0,70100.0,11121981.0,12667743.0,11818987.0,12770428.0
32,2021-11-08,70600,0.57,70400,70600,69800,11121981,70200.0,70600.0,70400.0,71500.0,-0.57,0.28,-1.54,2.29,71600.0,71200.0,71700.0,70800.0,71600.0,71600.0,71700.0,72200.0,70200.0,70500.0,70100.0,70700.0,12667743.0,11818987.0,12770428.0,16812570.0
33,2021-11-05,70200,-0.57,71600,71600,70200,12667743,70600.0,70400.0,71500.0,69900.0,0.28,-1.54,2.29,0.14,71200.0,71700.0,70800.0,70200.0,71600.0,71700.0,72200.0,70600.0,70500.0,70100.0,70700.0,69900.0,11818987.0,12770428.0,16812570.0,11503729.0
34,2021-11-04,70600,0.28,71200,71600,70500,11818987,70400.0,71500.0,69900.0,69800.0,-1.54,2.29,0.14,-1.27,71700.0,70800.0,70200.0,71200.0,71700.0,72200.0,70600.0,71600.0,70100.0,70700.0,69900.0,69700.0,12770428.0,16812570.0,11503729.0,17016151.0
35,2021-11-03,70400,-1.54,71700,71700,70100,12770428,71500.0,69900.0,69800.0,70700.0,2.29,0.14,-1.27,0.86,70800.0,70200.0,71200.0,69500.0,72200.0,70600.0,71600.0,72200.0,70700.0,69900.0,69700.0,69500.0,16812570.0,11503729.0,17016151.0,20644902.0
36,2021-11-02,71500,2.29,70800,72200,70700,16812570,69900.0,69800.0,70700.0,70100.0,0.14,-1.27,0.86,-1.41,70200.0,71200.0,69500.0,71000.0,70600.0,71600.0,72200.0,71000.0,69900.0,69700.0,69500.0,70000.0,11503729.0,17016151.0,20644902.0,10295316.0
37,2021-11-01,69900,0.14,70200,70600,69900,11503729,69800.0,70700.0,70100.0,71100.0,-1.27,0.86,-1.41,1.28,71200.0,69500.0,71000.0,70600.0,71600.0,72200.0,71000.0,71500.0,69700.0,69500.0,70000.0,70400.0,17016151.0,20644902.0,10295316.0,10528252.0
38,2021-10-29,69800,-1.27,71200,71600,69700,17016151,70700.0,70100.0,71100.0,70200.0,0.86,-1.41,1.28,-0.28,69500.0,71000.0,70600.0,69900.0,72200.0,71000.0,71500.0,70600.0,69500.0,70000.0,70400.0,69500.0,20644902.0,10295316.0,10528252.0,10029621.0
39,2021-10-28,70700,0.86,69500,72200,69500,20644902,70100.0,71100.0,70200.0,70400.0,-1.41,1.28,-0.28,0.28,71000.0,70600.0,69900.0,70000.0,71000.0,71500.0,70600.0,70700.0,70000.0,70400.0,69500.0,70000.0,10295316.0,10528252.0,10029621.0,8395448.0
40,2021-10-27,70100,-1.41,71000,71000,70000,10295316,71100.0,70200.0,70400.0,70200.0,1.28,-0.28,0.28,-0.14,70600.0,69900.0,70000.0,70300.0,71500.0,70600.0,70700.0,70600.0,70400.0,69500.0,70000.0,70000.0,10528252.0,10029621.0,8395448.0,10891094.0
41,2021-10-26,71100,1.28,70600,71500,70400,10528252,70200.0,70400.0,70200.0,70300.0,-0.28,0.28,-0.14,-0.42,69900.0,70000.0,70300.0,70700.0,70600.0,70700.0,70600.0,71000.0,69500.0,70000.0,70000.0,70200.0,10029621.0,8395448.0,10891094.0,10151638.0
42,2021-10-25,70200,-0.28,69900,70600,69500,10029621,70400.0,70200.0,70300.0,70600.0,0.28,-0.14,-0.42,0.57,70000.0,70300.0,70700.0,70800.0,70700.0,70600.0,71000.0,71000.0,70000.0,70000.0,70200.0,70400.0,8395448.0,10891094.0,10151638.0,9507991.0
43,2021-10-22,70400,0.28,70000,70700,70000,8395448,70200.0,70300.0,70600.0,70200.0,-0.14,-0.42,0.57,0.14,70300.0,70700.0,70800.0,70200.0,70600.0,71000.0,71000.0,70300.0,70000.0,70200.0,70400.0,69200.0,10891094.0,10151638.0,9507991.0,13486391.0
44,2021-10-21,70200,-0.14,70300,70600,70000,10891094,70300.0,70600.0,70200.0,70100.0,-0.42,0.57,0.14,1.01,70700.0,70800.0,70200.0,70200.0,71000.0,71000.0,70300.0,71000.0,70200.0,70400.0,69200.0,70000.0,10151638.0,9507991.0,13486391.0,18051612.0
45,2021-10-20,70300,-0.42,70700,71000,70200,10151638,70600.0,70200.0,70100.0,69400.0,0.57,0.14,1.01,0.87,70800.0,70200.0,70200.0,69000.0,71000.0,70300.0,71000.0,69800.0,70400.0,69200.0,70000.0,68800.0,9507991.0,13486391.0,18051612.0,19520641.0
46,2021-10-19,70600,0.57,70800,71000,70400,9507991,70200.0,70100.0,69400.0,68800.0,0.14,1.01,0.87,-0.29,70200.0,70200.0,69000.0,68700.0,70300.0,71000.0,69800.0,69600.0,69200.0,70000.0,68800.0,68300.0,13486391.0,18051612.0,19520641.0,24172015.0
47,2021-10-18,70200,0.14,70200,70300,69200,13486391,70100.0,69400.0,68800.0,69000.0,1.01,0.87,-0.29,-3.5,70200.0,69000.0,68700.0,70700.0,71000.0,69800.0,69600.0,70900.0,70000.0,68800.0,68300.0,68700.0,18051612.0,19520641.0,24172015.0,31001484.0
48,2021-10-15,70100,1.01,70200,71000,70000,18051612,69400.0,68800.0,69000.0,71500.0,0.87,-0.29,-3.5,-0.14,69000.0,68700.0,70700.0,72300.0,69800.0,69600.0,70900.0,72400.0,68800.0,68300.0,68700.0,71500.0,19520641.0,24172015.0,31001484.0,14043287.0
49,2021-10-14,69400,0.87,69000,69800,68800,19520641,68800.0,69000.0,71500.0,71600.0,-0.29,-3.5,-0.14,0.42,68700.0,70700.0,72300.0,71600.0,69600.0,70900.0,72400.0,72100.0,68300.0,68700.0,71500.0,71300.0,24172015.0,31001484.0,14043287.0,13683532.0
50,2021-10-13,68800,-0.29,68700,69600,68300,24172015,69000.0,71500.0,71600.0,71300.0,-3.5,-0.14,0.42,-1.25,70700.0,72300.0,71600.0,72600.0,70900.0,72400.0,72100.0,72800.0,68700.0,71500.0,71300.0,71200.0,31001484.0,14043287.0,13683532.0,18956962.0
51,2021-10-12,69000,-3.5,70700,70900,68700,31001484,71500.0,71600.0,71300.0,72200.0,-0.14,0.42,-1.25,-1.37,72300.0,71600.0,72600.0,73000.0,72400.0,72100.0,72800.0,73000.0,71500.0,71300.0,71200.0,71400.0,14043287.0,13683532.0,18956962.0,24013921.0
52,2021-10-08,71500,-0.14,72300,72400,71500,14043287,71600.0,71300.0,72200.0,73200.0,0.42,-1.25,-1.37,-1.21,71600.0,72600.0,73000.0,73900.0,72100.0,72800.0,73000.0,74000.0,71300.0,71200.0,71400.0,72900.0,13683532.0,18956962.0,24013921.0,15803395.0
53,2021-10-07,71600,0.42,71600,72100,71300,13683532,71300.0,72200.0,73200.0,74100.0,-1.25,-1.37,-1.21,0.0,72600.0,73000.0,73900.0,74300.0,72800.0,73000.0,74000.0,74800.0,71200.0,71400.0,72900.0,73700.0,18956962.0,24013921.0,15803395.0,19919361.0
