,제목,연령,장르,평점,가격
0,베놈 2: 렛 데어 비 카니지 Venom: Let There Be Carnage,15세 이상 관람가,드라마,4.2,"₩14,900"
1,007 노 타임 투 다이,12세 이상 관람가,액션/어드벤처,4.3,"₩10,900"
2,듄,12세 이상 관람가,SF/판타지,3.5,"₩14,900"
3,샹치와 텐 링즈의 전설,12세 이상 관람가,액션/어드벤처,3.3,"₩10,900"
4,강릉,청소년 관람불가,액션/어드벤처,4.8,"₩14,900"
5,베놈   Venom,15세 이상 관람가,액션/어드벤처,4.3,"₩4,000"
6,Free Guy,12세 이상 관람가,액션/어드벤처,4.4,"₩10,900"
7,분노의 질주: 더 얼티메이트,12세 이상 관람가,액션/어드벤처,4.0,"₩6,000"
8,블랙 위도우,12세 이상 관람가,액션/어드벤처,4.0,"₩10,900"
9,너의 이름은. (자막판),12세 이상 관람가,애니메이션,4.8,"₩1,200"
10,스파이더맨: 파 프롬 홈 (자막판),12세 이상 관람가,SF/판타지,4.4,"₩4,000"
11,모가디슈,15세 이상 관람가,드라마,4.1,"₩9,900"
12,스파이더맨 : 뉴 유니버스,12세 이상 관람가,액션/어드벤처,4.6,"₩4,000"
13,콰이어트 플레이스 2,15세 이상 관람가,액션/어드벤처,3.6,"₩8,500"
14,해리포터와 마법사의 돌,전체관람가,액션/어드벤처,4.7,"₩4,500"
15,캐시트럭,청소년 관람불가,액션/어드벤처,4.1,"₩2,500"
16,보스 베이비 2,전체관람가,애니메이션,3.6,"₩6,000"
17,날씨의 아이 (자막),15세 이상 관람가,애니메이션,4.8,"₩1,200"
18,더 수어사이드 스쿼드,청소년 관람불가,액션/어드벤처,4.5,"₩9,900"
19,Cruella,12세 이상 관람가,코미디,4.4,"₩7,150"
20,목소리의 형태 (자막판),전체관람가,애니메이션,4.7,"₩1,000"
21,어벤져스 : 엔드게임 (자막판),12세 이상 관람가,액션/어드벤처,4.8,"₩7,150"
22,애프터: 관계의 함정,15세 이상 관람가,로맨스,3.4,"₩9,900"
23,나 홀로 집에,전체관람가,코미디,4.7,"₩5,500"
24,테이큰,청소년 관람불가,액션/어드벤처,5.0,"₩1,200"
25,씽 (더빙판),전체관람가,코미디,4.5,"₩4,500"
26,레디 플레이어 원,12세 이상 관람가,SF/판타지,4.6,"₩4,500"
27,정글 크루즈,12세 이상 관람가,액션/어드벤처,4.4,"₩10,900"
28,스파이더맨: 홈커밍  (자막판),12세 이상 관람가,액션/어드벤처,4.7,"₩4,000"
29,캔디맨 (2021),15세 이상 관람가,공포,2.9,"₩10,900"
30,고질라 VS. 콩,12세 이상 관람가,액션/어드벤처,4.4,"₩6,000"
31,부산행,15세 이상 관람가,액션/어드벤처,4.4,"₩1,000"
32,겨울왕국 2 (더빙판),전체관람가,애니메이션,4.5,"₩7,150"
33,해리포터와 아즈카반의 죄수,전체관람가,액션/어드벤처,4.4,"₩4,500"
34,그린치 (자막판),전체관람가,애니메이션,3.7,"₩4,500"
35,루카,전체관람가,애니메이션,4.7,"₩7,150"
36,해리포터와 비밀의방,전체관람가,SF/판타지,4.3,"₩4,500"
37,노바디,15세 이상 관람가,액션/어드벤처,3.9,"₩4,500"
38,50가지 그림자: 심연,청소년 관람불가,드라마,3.8,"₩4,500"
39,새엄마들 2019,청소년 관람불가,로맨스,3.8,"₩1,200"
40,어메이징 스파이더맨 (자막판),12세 이상 관람가,액션/어드벤처,4.2,"₩4,000"
41,해리포터와 불의잔,12세 이상 관람가,액션/어드벤처,2.2,"₩4,500"
42,너의 이름은. (더빙판),12세 이상 관람가,애니메이션,1.9,"₩1,200"
