날짜,종가,전일비,시가,고가,저가,거래량
2021.12.03,75300,-500,75600,75600,74100,10914192
2021.12.02,75800,1400,73900,75800,73800,23652940
2021.12.01,74400,3100,72000,74800,71600,21954856
2021.11.30,71300,-1000,73200,73900,70500,30364841
2021.11.29,72300,0,71700,73000,71400,16682559
2021.11.26,72300,-1400,73500,74100,72000,13002242
2021.11.25,73700,-1100,75100,75100,73600,12559258
2021.11.24,74800,-500,76000,76200,74100,15652305
2021.11.23,75300,400,76000,76000,74500,22029195
2021.11.22,74900,3700,73300,75200,73000,27506623
2021.11.19,71200,1000,70400,71400,70100,11954728
2021.11.18,70200,-500,70700,71000,70200,10144957
2021.11.17,70700,-600,71300,71600,70600,11027606
2021.11.16,71300,-100,71500,72000,71300,10919239
2021.11.15,71400,800,71700,71900,70900,12420710
2021.11.12,70600,700,70200,70900,69900,10087450
2021.11.11,69900,-300,69900,70000,69600,11489122
2021.11.10,70200,-300,70300,70900,70200,9422009
2021.11.09,70500,-100,70300,71000,70100,11159589
2021.11.08,70600,400,70400,70600,69800,11121981
2021.11.05,70200,-400,71600,71600,70200,12667743
2021.11.04,70600,200,71200,71600,70500,11818987
2021.11.03,70400,-1100,71700,71700,70100,12770428
2021.11.02,71500,1600,70800,72200,70700,16812570
2021.11.01,69900,100,70200,70600,69900,11503729
2021.10.29,69800,-900,71200,71600,69700,17016151
2021.10.28,70700,600,69500,72200,69500,20644902
2021.10.27,70100,-1000,71000,71000,70000,10295316
2021.10.26,71100,900,70600,71500,70400,10528252
2021.10.25,70200,-200,69900,70600,69500,10029621
2021.10.22,70400,200,70000,70700,70000,8395448
2021.10.21,70200,-100,70300,70600,70000,10891094
2021.10.20,70300,-300,70700,71000,70200,10151638
2021.10.19,70600,400,70800,71000,70400,9507991
2021.10.18,70200,100,70200,70300,69200,13486391
2021.10.15,70100,700,70200,71000,70000,18051612
2021.10.14,69400,600,69000,69800,68800,19520641
2021.10.13,68800,-200,68700,69600,68300,24172015
2021.10.12,69000,-2500,70700,70900,68700,31001484
2021.10.08,71500,-100,72300,72400,71500,14043287
2021.10.07,71600,300,71600,72100,71300,13683532
2021.10.06,71300,-900,72600,72800,71200,18956962
2021.10.05,72200,-1000,73000,73000,71400,24013921
2021.10.01,73200,-900,73900,74000,72900,15803395
2021.09.30,74100,0,74300,74800,73700,19919361
2021.09.29,74100,-2200,74800,75300,73800,23992458
2021.09.28,76300,-1400,77700,77800,76200,15406382
2021.09.27,77700,400,77300,77700,77000,11699798
2021.09.24,77300,-100,77600,77700,77100,12247274
2021.09.23,77400,200,77500,77600,76800,17055590
2021.09.17,77200,1100,76300,77200,75900,16289502
2021.09.16,76100,-900,77300,77400,76100,13067622
2021.09.15,77000,400,77400,77400,76400,12829128
2021.09.14,76600,300,77100,77700,76600,18167057
2021.09.13,76300,1000,75200,76300,75100,11397775
2021.09.10,75300,0,75300,75600,74800,10103212
2021.09.09,75300,-1000,76400,76600,75000,17600770
2021.09.08,76300,200,76000,76400,75600,11798147
2021.09.07,76100,-1200,77100,77100,75900,13239401
2021.09.06,77300,700,76800,77600,76600,12861180
2021.09.03,76600,600,76400,76700,76000,12096419
2021.09.02,76000,-800,76800,76800,75700,15347486
2021.09.01,76800,100,76700,77100,75900,16114775
2021.08.31,76700,2100,74900,76700,74300,24630370
2021.08.30,74600,300,75400,75500,74200,12686999
2021.08.27,74300,-300,74300,75000,73800,15172748
2021.08.26,74600,-1100,76100,76200,74600,16671494
2021.08.25,75700,100,76200,76600,74900,22319664
2021.08.24,75600,2300,73900,75700,73900,21016913
2021.08.23,73300,600,73300,74000,73000,19384648
2021.08.20,72700,-400,73500,73900,72500,22364803
2021.08.19,73100,-800,73500,74400,73100,22166298
2021.08.18,73900,-300,73900,74600,73100,29192631
2021.08.17,74200,-200,74000,75100,74000,30944847
2021.08.13,74400,-2600,75800,76000,74100,61270643
2021.08.12,77000,-1500,77100,78200,76900,42365223
2021.08.11,78500,-1700,79600,79800,78500,30241137
2021.08.10,80200,-1300,82300,82400,80100,20362639
2021.08.09,81500,0,81500,82300,80900,15522581
2021.08.06,81500,-600,81900,82500,81300,13342623
2021.08.05,82100,-800,83300,83300,82000,18485469
2021.08.04,82900,1500,82200,83100,81800,25642368
2021.08.03,81400,2100,79400,81400,79300,24339360
2021.08.02,79300,800,79200,79500,78700,11739124
2021.07.30,78500,-500,78900,78900,78500,13823411
2021.07.29,79000,-200,78800,79400,78800,14360453
2021.07.28,79200,700,78300,79200,78100,12743417
2021.07.27,78500,-300,79200,79400,78500,11427693
2021.07.26,78800,-500,79400,79500,78800,10040975
2021.07.23,79300,-400,79700,79900,79200,9098910
2021.07.22,79700,1200,79000,79800,78900,12618790
2021.07.21,78500,-500,79000,79100,78500,12355296
2021.07.20,79000,0,78500,79000,78400,12456646
2021.07.19,79000,-800,79100,79200,78800,13155414
2021.07.16,79800,-800,80100,80100,79500,10859399
2021.07.15,80600,1100,79800,80600,79500,13766279
2021.07.14,79500,-300,79400,79600,79100,11575636
2021.07.13,79800,100,80000,80200,79800,9863450
2021.07.12,79700,300,79900,80000,79500,9768108
2021.07.09,79400,-500,79600,79800,79000,22720577
