날짜,종가,등락율,시작가,최고가,최저가,거래량
2021-12-22,52000,0.39,52100,52500,51700,4451
2021-12-21,51800,-0.38,52300,52300,51600,12799
2021-12-20,52000,0.00,52400,52500,51700,12579
2021-12-17,52000,0.00,51500,52400,51500,15325
2021-12-16,52000,0.58,51800,52100,51500,8109
2021-12-15,51700,0.00,51700,52000,51400,10842
2021-12-14,51700,0.39,51500,52100,51000,24297
2021-12-13,51500,-0.96,52000,52600,50900,60397
2021-12-10,52000,-2.26,53300,54100,51900,45916
2021-12-09,53200,0.95,52500,53200,52400,4509
2021-12-08,52700,-0.94,53200,53700,52500,13006
2021-12-07,53200,1.53,52500,53300,52400,8113
2021-12-06,52400,1.16,51300,53100,51300,18213
2021-12-03,51800,0.78,51500,52200,51200,15849
2021-12-02,51400,1.78,50500,51500,50300,8977
2021-12-01,50500,-0.39,50500,51100,50100,12703
2021-11-30,50700,-3.24,52700,52800,50500,29000
2021-11-29,52400,-3.14,52800,53500,52200,24603
2021-11-26,54100,-1.81,55000,55100,53800,21859
2021-11-25,55100,-0.36,55300,55400,55000,5175
2021-11-24,55300,1.10,54500,56500,54500,6638
2021-11-23,54700,-0.18,55000,55100,54600,5806
2021-11-22,54800,0.18,55100,55200,54400,7222
2021-11-19,54700,-0.55,55000,55200,54500,11209
2021-11-18,55000,-0.18,54900,55100,54400,10670
2021-11-17,55100,-0.54,55200,55400,55000,6494
2021-11-16,55400,-0.36,55200,55600,55200,4318
2021-11-15,55600,0.36,55400,55600,55100,6284
2021-11-12,55400,0.54,55000,55400,55000,4182
2021-11-11,55100,-0.72,55400,55500,54900,10061
2021-11-10,55500,0.00,55500,55700,55100,11197
2021-11-09,55500,-0.72,55900,56100,55400,7074
2021-11-08,55900,0.00,55600,56000,55400,14981
2021-11-05,55900,0.54,56100,56100,55400,9675
2021-11-04,55600,-0.54,55700,56100,55600,10729
2021-11-03,55900,-1.06,56700,56700,55800,9792
2021-11-02,56500,0.53,56000,56700,55900,8591
2021-11-01,56200,0.90,56000,56300,55600,7837
2021-10-29,55700,-0.89,56400,56400,55600,11988
2021-10-28,56200,0.18,56000,56300,56000,10716
2021-10-27,56100,-0.36,56400,56600,56000,12251
2021-10-26,56300,0.00,56400,56700,56200,11832
2021-10-25,56300,-0.35,56500,56700,56100,11092
2021-10-22,56500,0.18,56600,56900,56400,10825
2021-10-21,56400,-0.88,56900,57100,56400,16768
2021-10-20,56900,0.00,56700,57100,56600,8303
2021-10-19,56900,0.00,56600,57200,56600,9036
2021-10-18,56900,0.00,56900,57000,56300,10524
2021-10-15,56900,0.89,56500,57400,56500,28302
2021-10-14,56400,0.36,56400,56700,56400,8232
2021-10-13,56200,-0.53,56300,56800,56100,14781
2021-10-12,56500,-0.35,56700,57200,56500,16558
2021-10-08,56700,0.35,56500,56900,56500,12709
2021-10-07,56500,0.00,56500,57000,56500,16202
2021-10-06,56500,-0.35,56500,57000,56200,32402
2021-10-05,56700,0.35,56600,56800,56400,26836
2021-10-01,56500,0.00,56500,56800,56400,26351
2021-09-30,56500,-0.18,57000,57000,56500,12492
2021-09-29,56600,-0.18,56500,56800,56000,24815
2021-09-28,56700,0.18,56500,56700,56500,18902
2021-09-27,56600,-0.18,56700,56900,56400,18155
2021-09-24,56700,0.35,56700,57000,56500,15070
2021-09-23,56500,-0.88,56500,57200,56400,26337
2021-09-17,57000,0.88,56500,57000,56400,20768
2021-09-16,56500,-0.35,56700,56900,56500,16665
2021-09-15,56700,0.35,56500,56800,56500,8696
2021-09-14,56500,0.18,56800,56800,56400,12555
2021-09-13,56400,0.71,56000,56400,55500,15413
2021-09-10,56000,0.54,55600,56000,55400,21128
2021-09-09,55700,-0.36,55900,56500,55500,12516
2021-09-08,55900,-0.89,56400,56400,55900,14431
2021-09-07,56400,0.00,56500,57000,56000,23378
2021-09-06,56400,-0.53,56700,56800,56200,13458
2021-09-03,56700,0.89,56300,56900,56300,12147
2021-09-02,56200,-0.71,56900,57100,56200,13559
2021-09-01,56600,-0.88,57200,57400,56300,22595
2021-08-31,57100,0.53,56900,57200,56400,14740
2021-08-30,56800,1.25,56400,57100,56300,13864
2021-08-27,56100,0.36,55900,56500,55600,15306
2021-08-26,55900,-1.41,56700,56900,55900,21081
2021-08-25,56700,-1.22,57400,57600,56300,23936
2021-08-24,57400,0.00,57800,58000,56200,29216
2021-08-23,57400,1.95,56300,57500,56000,25463
2021-08-20,56300,0.36,56600,56700,55300,46433
2021-08-19,56100,-2.94,57000,57500,55800,55767
2021-08-18,57800,1.23,57100,57900,56000,33180
2021-08-17,57100,-0.70,57400,57900,56500,63665
2021-08-13,57500,-1.54,58400,58500,56600,51076
2021-08-12,58400,-0.17,58500,58900,58400,28096
2021-08-11,58500,-0.68,58600,59300,58400,35643
2021-08-10,58900,-0.84,59400,59600,58600,42997
2021-08-09,59400,-1.49,60100,60100,59100,53028
2021-08-06,60300,-0.66,60700,60700,60200,20804
2021-08-05,60700,0.83,60200,60800,59900,33663
2021-08-04,60200,0.84,59900,60200,59500,36087
2021-08-03,59700,-1.32,60500,60500,59500,54749
2021-08-02,60500,-0.66,60300,60700,60000,32016
2021-07-30,60900,-0.33,61200,61200,60200,52580
2021-07-29,61100,0.49,60800,61400,60700,31029
2021-07-28,60800,-0.65,60800,61500,60500,33614
2021-07-27,61200,-0.81,62000,62100,61100,55119
2021-07-26,61700,-1.75,62900,63000,61600,38071
2021-07-23,62800,0.64,62800,62900,62400,24814
2021-07-22,62400,-0.48,62800,62900,62000,41908
2021-07-21,62700,-1.72,64200,64600,62700,58905
2021-07-20,63800,-0.93,64600,64700,63200,69845
2021-07-19,64400,0.47,64900,65000,63700,81543
2021-07-16,64100,-0.62,64500,64500,63700,50895
2021-07-15,64500,2.06,63700,64600,63500,76073
2021-07-14,63200,0.96,63200,63300,62700,57765
2021-07-13,62600,0.81,62600,62900,62300,32874
2021-07-12,62100,1.97,61100,62100,61100,35204
2021-07-09,60900,-1.93,61800,61800,60200,93817
2021-07-08,62100,-0.96,63000,63000,62000,40662
2021-07-07,62700,-0.63,63300,63400,62600,25365
2021-07-06,63100,-0.32,63600,63600,63000,31201
2021-07-05,63300,0.16,63100,63700,62900,32578
2021-07-02,63200,-0.63,63600,63900,63000,33266
2021-07-01,63600,0.00,63600,63900,63200,33970
2021-06-30,63600,0.16,63900,63900,63400,22870
2021-06-29,63500,-0.16,63900,64100,63400,35513
2021-06-28,63600,0.32,64000,64000,63300,42909
2021-06-25,63400,0.48,63200,64200,63200,49565
2021-06-24,63100,-0.79,63600,63800,62900,58511
2021-06-23,63600,-1.40,64700,64700,63600,59670
2021-06-22,64500,-0.31,65000,65100,64300,36662
2021-06-21,64700,0.31,64100,65300,64000,67981
2021-06-18,64500,-0.77,65100,65100,64100,69541
2021-06-17,65000,-0.91,65400,65400,64600,75811
2021-06-16,65600,0.00,65900,66400,65500,107303
2021-06-15,65600,-1.06,66500,66600,65500,93865
2021-06-14,66300,1.22,66600,66800,65500,126221
2021-06-11,65500,1.39,64600,65500,63900,117945
2021-06-10,64600,1.25,64100,64600,63100,194482
2021-06-09,63800,-0.47,64100,64300,63700,58992
2021-06-08,64100,-0.62,64600,64800,63500,105680
2021-06-07,64500,0.31,64700,65300,64300,148391
2021-06-04,64300,3.04,63900,65300,63800,316864
2021-06-03,62400,-0.64,62900,62900,62300,44610
2021-06-02,62800,0.32,63300,63400,62600,61795
2021-06-01,62600,-0.32,63000,63200,62200,40271
2021-05-31,62800,0.48,62800,63000,62000,78005
2021-05-28,62500,-0.79,63500,63500,62400,36587
2021-05-27,63000,0.48,62700,63400,62300,69740
2021-05-26,62700,0.64,62500,63700,62100,95980
2021-05-25,62300,2.81,61100,63100,60900,115349
2021-05-24,60600,1.00,60000,60800,59800,35830
2021-05-21,60000,-1.32,61000,61200,59900,90848
2021-05-20,60800,-1.30,61400,61400,60700,52816
2021-05-18,61600,-1.12,62100,62900,60900,80950
2021-05-17,62300,-0.95,62500,63500,62300,46342
2021-05-14,62900,-1.72,64500,64700,62800,56686
2021-05-13,64000,3.90,61100,64800,60600,133955
2021-05-12,61600,-0.16,61800,62500,61000,69771
2021-05-11,61700,-0.32,61900,62000,60800,65252
2021-05-10,61900,0.16,62000,62400,61400,76076
2021-05-07,61800,0.65,61600,62000,61400,47827
2021-05-06,61400,0.49,61100,61400,60300,69184
2021-05-04,61100,0.49,61000,61400,60400,45129
2021-05-03,60800,-1.94,62000,62400,60600,70080
2021-04-30,62000,-2.67,63100,63800,62000,56163
2021-04-29,63700,-1.09,64300,64400,62700,40390
2021-04-28,64400,-0.92,65000,65000,63800,38351
2021-04-27,65000,-0.31,65200,65200,64600,23062
2021-04-26,65200,1.40,64400,65200,64000,46608
2021-04-23,64300,-0.62,65000,65000,63900,25959
2021-04-22,64700,0.78,64600,65400,64200,54776
2021-04-21,64200,1.42,63300,64500,62400,58953
2021-04-20,63300,0.80,62900,63700,62400,50304
2021-04-19,62800,-0.79,63400,63700,62600,40200
2021-04-16,63300,0.32,63500,63800,63100,34788
2021-04-15,63100,-1.10,63300,63800,62400,74798
2021-04-14,63800,0.79,65000,65200,63200,84670
2021-04-13,63300,-0.78,63800,64000,63000,55383
2021-04-12,63800,2.08,62600,64200,62500,82130
2021-04-09,62500,2.97,60700,62800,60500,78998
2021-04-08,60700,0.50,60300,60800,59900,39994
2021-04-07,60400,1.68,59500,60400,59200,48943
2021-04-06,59400,0.00,59500,59600,59200,21088
2021-04-05,59400,-0.50,59600,59700,59200,21131
2021-04-02,59700,0.17,59600,59900,59600,21218
2021-04-01,59600,-0.50,59900,60000,59600,30068
2021-03-31,59900,0.84,59600,60000,59300,28963
2021-03-30,59400,0.17,59300,60100,59200,29396
2021-03-29,59300,0.17,59200,59900,59000,31954
2021-03-26,59200,0.17,59100,59600,58600,28098
2021-03-25,59100,-0.34,59000,59100,58200,35377
