,거래량,거래량_1,거래량_2,거래량_3,거래량_4,등락율,등락율_1,등락율_2,등락율_3,등락율_4,시작가,시작가_1,시작가_2,시작가_3,시작가_4,종가,종가_1,종가_2,종가_3,종가_4,최고가,최고가_1,최고가_2,최고가_3,최고가_4,최저가,최저가_1,최저가_2,최저가_3,최저가_4
0,12799,12579.0,15325.0,8109.0,10842.0,-0.38,0.0,0.0,0.58,0.0,52300,52400.0,51500.0,51800.0,51700.0,51800,52000.0,52000.0,52000.0,51700.0,52300,52500.0,52400.0,52100.0,52000.0,51600,51700.0,51500.0,51500.0,51400.0
1,12579,15325.0,8109.0,10842.0,24297.0,0.0,0.0,0.58,0.0,0.39,52400,51500.0,51800.0,51700.0,51500.0,52000,52000.0,52000.0,51700.0,51700.0,52500,52400.0,52100.0,52000.0,52100.0,51700,51500.0,51500.0,51400.0,51000.0
2,15325,8109.0,10842.0,24297.0,60397.0,0.0,0.58,0.0,0.39,-0.96,51500,51800.0,51700.0,51500.0,52000.0,52000,52000.0,51700.0,51700.0,51500.0,52400,52100.0,52000.0,52100.0,52600.0,51500,51500.0,51400.0,51000.0,50900.0
3,8109,10842.0,24297.0,60397.0,45916.0,0.58,0.0,0.39,-0.96,-2.26,51800,51700.0,51500.0,52000.0,53300.0,52000,51700.0,51700.0,51500.0,52000.0,52100,52000.0,52100.0,52600.0,54100.0,51500,51400.0,51000.0,50900.0,51900.0
4,10842,24297.0,60397.0,45916.0,4509.0,0.0,0.39,-0.96,-2.26,0.95,51700,51500.0,52000.0,53300.0,52500.0,51700,51700.0,51500.0,52000.0,53200.0,52000,52100.0,52600.0,54100.0,53200.0,51400,51000.0,50900.0,51900.0,52400.0
5,24297,60397.0,45916.0,4509.0,13006.0,0.39,-0.96,-2.26,0.95,-0.94,51500,52000.0,53300.0,52500.0,53200.0,51700,51500.0,52000.0,53200.0,52700.0,52100,52600.0,54100.0,53200.0,53700.0,51000,50900.0,51900.0,52400.0,52500.0
6,60397,45916.0,4509.0,13006.0,8113.0,-0.96,-2.26,0.95,-0.94,1.53,52000,53300.0,52500.0,53200.0,52500.0,51500,52000.0,53200.0,52700.0,53200.0,52600,54100.0,53200.0,53700.0,53300.0,50900,51900.0,52400.0,52500.0,52400.0
7,45916,4509.0,13006.0,8113.0,18213.0,-2.26,0.95,-0.94,1.53,1.16,53300,52500.0,53200.0,52500.0,51300.0,52000,53200.0,52700.0,53200.0,52400.0,54100,53200.0,53700.0,53300.0,53100.0,51900,52400.0,52500.0,52400.0,51300.0
8,4509,13006.0,8113.0,18213.0,15849.0,0.95,-0.94,1.53,1.16,0.78,52500,53200.0,52500.0,51300.0,51500.0,53200,52700.0,53200.0,52400.0,51800.0,53200,53700.0,53300.0,53100.0,52200.0,52400,52500.0,52400.0,51300.0,51200.0
9,13006,8113.0,18213.0,15849.0,8977.0,-0.94,1.53,1.16,0.78,1.78,53200,52500.0,51300.0,51500.0,50500.0,52700,53200.0,52400.0,51800.0,51400.0,53700,53300.0,53100.0,52200.0,51500.0,52500,52400.0,51300.0,51200.0,50300.0
10,8113,18213.0,15849.0,8977.0,12703.0,1.53,1.16,0.78,1.78,-0.39,52500,51300.0,51500.0,50500.0,50500.0,53200,52400.0,51800.0,51400.0,50500.0,53300,53100.0,52200.0,51500.0,51100.0,52400,51300.0,51200.0,50300.0,50100.0
11,18213,15849.0,8977.0,12703.0,29000.0,1.16,0.78,1.78,-0.39,-3.24,51300,51500.0,50500.0,50500.0,52700.0,52400,51800.0,51400.0,50500.0,50700.0,53100,52200.0,51500.0,51100.0,52800.0,51300,51200.0,50300.0,50100.0,50500.0
12,15849,8977.0,12703.0,29000.0,24603.0,0.78,1.78,-0.39,-3.24,-3.14,51500,50500.0,50500.0,52700.0,52800.0,51800,51400.0,50500.0,50700.0,52400.0,52200,51500.0,51100.0,52800.0,53500.0,51200,50300.0,50100.0,50500.0,52200.0
13,8977,12703.0,29000.0,24603.0,21859.0,1.78,-0.39,-3.24,-3.14,-1.81,50500,50500.0,52700.0,52800.0,55000.0,51400,50500.0,50700.0,52400.0,54100.0,51500,51100.0,52800.0,53500.0,55100.0,50300,50100.0,50500.0,52200.0,53800.0
14,12703,29000.0,24603.0,21859.0,5175.0,-0.39,-3.24,-3.14,-1.81,-0.36,50500,52700.0,52800.0,55000.0,55300.0,50500,50700.0,52400.0,54100.0,55100.0,51100,52800.0,53500.0,55100.0,55400.0,50100,50500.0,52200.0,53800.0,55000.0
15,29000,24603.0,21859.0,5175.0,6638.0,-3.24,-3.14,-1.81,-0.36,1.1,52700,52800.0,55000.0,55300.0,54500.0,50700,52400.0,54100.0,55100.0,55300.0,52800,53500.0,55100.0,55400.0,56500.0,50500,52200.0,53800.0,55000.0,54500.0
16,24603,21859.0,5175.0,6638.0,5806.0,-3.14,-1.81,-0.36,1.1,-0.18,52800,55000.0,55300.0,54500.0,55000.0,52400,54100.0,55100.0,55300.0,54700.0,53500,55100.0,55400.0,56500.0,55100.0,52200,53800.0,55000.0,54500.0,54600.0
17,21859,5175.0,6638.0,5806.0,7222.0,-1.81,-0.36,1.1,-0.18,0.18,55000,55300.0,54500.0,55000.0,55100.0,54100,55100.0,55300.0,54700.0,54800.0,55100,55400.0,56500.0,55100.0,55200.0,53800,55000.0,54500.0,54600.0,54400.0
18,5175,6638.0,5806.0,7222.0,11209.0,-0.36,1.1,-0.18,0.18,-0.55,55300,54500.0,55000.0,55100.0,55000.0,55100,55300.0,54700.0,54800.0,54700.0,55400,56500.0,55100.0,55200.0,55200.0,55000,54500.0,54600.0,54400.0,54500.0
19,6638,5806.0,7222.0,11209.0,10670.0,1.1,-0.18,0.18,-0.55,-0.18,54500,55000.0,55100.0,55000.0,54900.0,55300,54700.0,54800.0,54700.0,55000.0,56500,55100.0,55200.0,55200.0,55100.0,54500,54600.0,54400.0,54500.0,54400.0
20,5806,7222.0,11209.0,10670.0,6494.0,-0.18,0.18,-0.55,-0.18,-0.54,55000,55100.0,55000.0,54900.0,55200.0,54700,54800.0,54700.0,55000.0,55100.0,55100,55200.0,55200.0,55100.0,55400.0,54600,54400.0,54500.0,54400.0,55000.0
21,7222,11209.0,10670.0,6494.0,4318.0,0.18,-0.55,-0.18,-0.54,-0.36,55100,55000.0,54900.0,55200.0,55200.0,54800,54700.0,55000.0,55100.0,55400.0,55200,55200.0,55100.0,55400.0,55600.0,54400,54500.0,54400.0,55000.0,55200.0
22,11209,10670.0,6494.0,4318.0,6284.0,-0.55,-0.18,-0.54,-0.36,0.36,55000,54900.0,55200.0,55200.0,55400.0,54700,55000.0,55100.0,55400.0,55600.0,55200,55100.0,55400.0,55600.0,55600.0,54500,54400.0,55000.0,55200.0,55100.0
23,10670,6494.0,4318.0,6284.0,4182.0,-0.18,-0.54,-0.36,0.36,0.54,54900,55200.0,55200.0,55400.0,55000.0,55000,55100.0,55400.0,55600.0,55400.0,55100,55400.0,55600.0,55600.0,55400.0,54400,55000.0,55200.0,55100.0,55000.0
24,6494,4318.0,6284.0,4182.0,10061.0,-0.54,-0.36,0.36,0.54,-0.72,55200,55200.0,55400.0,55000.0,55400.0,55100,55400.0,55600.0,55400.0,55100.0,55400,55600.0,55600.0,55400.0,55500.0,55000,55200.0,55100.0,55000.0,54900.0
25,4318,6284.0,4182.0,10061.0,11197.0,-0.36,0.36,0.54,-0.72,0.0,55200,55400.0,55000.0,55400.0,55500.0,55400,55600.0,55400.0,55100.0,55500.0,55600,55600.0,55400.0,55500.0,55700.0,55200,55100.0,55000.0,54900.0,55100.0
26,6284,4182.0,10061.0,11197.0,7074.0,0.36,0.54,-0.72,0.0,-0.72,55400,55000.0,55400.0,55500.0,55900.0,55600,55400.0,55100.0,55500.0,55500.0,55600,55400.0,55500.0,55700.0,56100.0,55100,55000.0,54900.0,55100.0,55400.0
27,4182,10061.0,11197.0,7074.0,14981.0,0.54,-0.72,0.0,-0.72,0.0,55000,55400.0,55500.0,55900.0,55600.0,55400,55100.0,55500.0,55500.0,55900.0,55400,55500.0,55700.0,56100.0,56000.0,55000,54900.0,55100.0,55400.0,55400.0
28,10061,11197.0,7074.0,14981.0,9675.0,-0.72,0.0,-0.72,0.0,0.54,55400,55500.0,55900.0,55600.0,56100.0,55100,55500.0,55500.0,55900.0,55900.0,55500,55700.0,56100.0,56000.0,56100.0,54900,55100.0,55400.0,55400.0,55400.0
29,11197,7074.0,14981.0,9675.0,10729.0,0.0,-0.72,0.0,0.54,-0.54,55500,55900.0,55600.0,56100.0,55700.0,55500,55500.0,55900.0,55900.0,55600.0,55700,56100.0,56000.0,56100.0,56100.0,55100,55400.0,55400.0,55400.0,55600.0
30,7074,14981.0,9675.0,10729.0,9792.0,-0.72,0.0,0.54,-0.54,-1.06,55900,55600.0,56100.0,55700.0,56700.0,55500,55900.0,55900.0,55600.0,55900.0,56100,56000.0,56100.0,56100.0,56700.0,55400,55400.0,55400.0,55600.0,55800.0
31,14981,9675.0,10729.0,9792.0,8591.0,0.0,0.54,-0.54,-1.06,0.53,55600,56100.0,55700.0,56700.0,56000.0,55900,55900.0,55600.0,55900.0,56500.0,56000,56100.0,56100.0,56700.0,56700.0,55400,55400.0,55600.0,55800.0,55900.0
32,9675,10729.0,9792.0,8591.0,7837.0,0.54,-0.54,-1.06,0.53,0.9,56100,55700.0,56700.0,56000.0,56000.0,55900,55600.0,55900.0,56500.0,56200.0,56100,56100.0,56700.0,56700.0,56300.0,55400,55600.0,55800.0,55900.0,55600.0
33,10729,9792.0,8591.0,7837.0,11988.0,-0.54,-1.06,0.53,0.9,-0.89,55700,56700.0,56000.0,56000.0,56400.0,55600,55900.0,56500.0,56200.0,55700.0,56100,56700.0,56700.0,56300.0,56400.0,55600,55800.0,55900.0,55600.0,55600.0
