,name,address
0,행운복권방,"서울 서대문구 북아현로 34-3,(북아현동) "
1,버스판매소,서울 영등포구 영중로 13 신세계앞
2,가자세계주류(종로점),서울 종로구 수표로 112-1 
3,신호 로또판매점,부산 강서구 신호산단2로  53-1 1층 103호
4,팬레코드,부산 남구 수영로 253 
5,럭키복권,경기 김포시 월하로 391 
6,쿠아안경원,경기 안산시 단원구 신각길 44 휴먼빌2차아파트상가102호
7,로또복권방,"경기 의정부시 평화로 223,(호원동) "
8,지에스(GS)25 진동에이스점,경남 창원시 마산합포구 신서촌1길 49 1층 GS편의점내
9,영화복권,경남 창원시 진해구 안청남로 14 
10,대박로또,서울 성동구 용답19길 11 
11,하나열쇠,부산 남구 용호로 179 
12,삼성포토랜드,인천 강화군 강화읍 북문길 6 
13,대박마트,인천 남동구 호구포로 219 세중프라자1층101-2호
14,세러데이 845,광주 광산구 첨단중앙로182번길 90 상가동 1층 129호(첨단대라수어썸시티)
15,서종복권판매점,경기 고양시 덕양구 고양대로1315번길 5 1층
16,동행로또복권방,경기 광명시 시청로 142-1 101호(철산동)
17,훼밀리슈퍼,경기 구리시 건원대로34번길 19 세신훼밀리타운102
18,해든복권나라,경기 부천시 소향로 239 대야하이빌투 106호
19,행운복권,경기 의정부시 평화로 359 회룡한주아파트 상가동 110호
20,교하로또판매점,경기 파주시 파주로 266 아이비타워108호
21,좋은날 복권방,"전북 남원시 의총로 78 메이커스쿨,용남건재,용남삼베,대동지업사 "
22,조례로또복권방,전남 순천시 봉화2길 58 조례로또복권방
23,대박찬스,전남 여수시 문수로 159-1 
24,GS25(구로제일점),서울 구로구 구일로4길 33 103호
25,부일카서비스,부산 동구 자성로133번길 35 
26,복권명당(서부점),대구 달서구 월배로 452 
27,복권방,경기 수원시 팔달구 권광로 213 
28,하이로또복권방,"경기 안양시 동안구 흥안대로 450,(평촌동) "
29,율암25시편의점,경기 화성시 시청로 822-10 
30,혁신대박,충북 음성군 원중로 1434  103호(에스타워)
31,도깨비방망이,전남 완도군 완도읍 장보고대로 220 도깨비방망이
32,로또복권 하대점,경남 진주시 도동로 188 
33,인터넷 복권판매사이트,동행복권(dhlottery.co.kr) 
34,진우복권,부산 연제구 월드컵대로 119 204호(연산동)
35,희망복권방,인천 계양구 효서로 293 
36,GS25(야탑프리아점),경기 성남시 분당구 야탑로 106 프리아오프스텔101호
37,로또복권,경기 안산시 단원구 선부광장1로 121 중앙슈퍼 101호
38,복권명당,경기 안성시 승두길 62 
39,행운복권편의점,경기 파주시 문향로 106 
40,금능마트,충북 충주시 후곡길 19 금능마트
41,현대장미슈퍼,전북 익산시 동서로61길 41 현대아파트1층108호
42,행운복권방 보생당건강원,전북 익산시 무왕로 1268 
43,부자복권방,전북 전주시 완산구 서곡4길 45-4  
44,신신마트편의점,전남 목포시 철로마을길 36 신신마트
45,신신마트편의점,전남 목포시 철로마을길 36 신신마트
46,양산노다지복권방,경남 양산시 북안남2길 52 성전도장 
47,농가마트,서울 양천구 중앙로 264 1층
48,복권명당,대구 수성구 천을로 180 동서1차아파트상가108-112호
